name,email,location
"Tierschutzverein Liechtenstein","info@tierschutzverein.li","Liechtenstein"
"SPA Monaco","adoption@spamonaco.mc","Monaco"
"ALPA Luxembourg","info@alpa.lu","Luxemburg"
"Dyreværnet Denmark","info@dyrevaernet.dk","Denemarken"
"Dyrebeskyttelsen Norge","post@dyrebeskyttelsen.no","Noorwegen"
"HESY Helsinki","hesy@hesy.fi","Finland"
"Viikki Animal Shelter","viikki@hesy.fi","Helsinki"
"Hundar Utan Hem","info@hundarutanhem.se","Zweden"
"Tails Rescue Sweden","info@tailsrescuesweden.org","Zweden"
"Dog Rescue Auktsjaur","info@dogrescueauktsjaur.com","Zweden"
"SPCA Sweden","info@spcasweden.se","Zweden"
"SOS Animals Sweden","info@sos-animals.se","Zweden"
"Wiener Tierschutzverein","kundenservice@tierschutz-austria.at","Oostenrijk"
"Tierschutzverein Wien","office@tierschutzverein.at","Oostenrijk"
"Franziskus Tierheim Hamburg","info@franziskustierheim.de","Duitsland"
"Hamburger Tierschutzverein","info@hamburger-tierschutzverein.de","Hamburg"
"Deutscher Tierschutzbund","bg@tierschutzbund.de","Duitsland"
"Stichting Adopt.nl","info@adoptnl.org","Nederland"
"Scottish SPCA","info@scottishspca.org","Schotland"
"Animal Rescue Cymru","rehoming@animalrescuecymru.co.uk","Wales"
"Islay Dog Rescue","islaydogrescue@yahoo.co.uk","Schotland"
"ENPA Pistoia","pistoia@enpa.org","Italië"
"ENPA Genova","genova@enpa.org","Italië"
"Dyrenes Frie Farm","kontakt@dyrenesfriefarm.dk","Denemarken"
"Dyrebeskyttelsen Oslo","nord-jaeren@dyrebeskyttelsen.no","Noorwegen"
"SPA Nice","nice@la-spa.fr","Frankrijk"
"Schweizer Tierschutz Basel","basel@tierschutz.com","Zwitserland"
"ENPA Faenza","faenza@enpa.org","Italië"
"Animal Equality Italia","info@animalequality.org","Italië"
"Scottish Animal Welfare","info@scottishanimalwelfare.org.uk","Schotland"
"TierQuarTier Wien","tierquartier@ma60.wien.gv.at","Oostenrijk"
"Tierschutz Linth","info@tierschutzlinth.ch","Zwitserland"
"STS Schweizer Tierschutz","info@sts-psa.ch","Zwitserland"
"LAV Bergamo","bergamo@lav.it","Italië"
"LAV Bologna","bologna@lav.it","Italië"
